City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Eureka,US,40.8021,-124.1637,62.92,86,98,1.01,overcast clouds
123,Tura,IN,25.5198,90.2201,74.66,96,99,6.13,overcast clouds
124,San Cristobal,VE,7.7669,-72.225,79.57,49,73,6.24,broken clouds
125,Tasiilaq,GL,65.6145,-37.6368,42.96,74,97,5.75,overcast clouds
126,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,75,11.5,light rain
127,Popondetta,PG,-8.7537,148.2534,73.71,92,87,2.66,overcast clouds
128,Lerwick,GB,60.1545,-1.1494,57.2,80,24,11.07,light rain
129,Vao,NC,-22.6667,167.4833,71.83,81,96,12.39,overcast clouds
130,Bilibino,RU,68.0546,166.4372,54.99,41,83,4.61,broken clouds
131,Dingle,PH,10.9995,122.6711,77.85,88,99,3.58,overcast clouds
132,Dunedin,NZ,-45.8742,170.5036,45.81,53,32,3.0,scattered clouds
133,Talcahuano,CL,-36.7167,-73.1167,46.08,66,0,10.36,clear sky
134,Kilindoni,TZ,-7.9139,39.6668,78.82,74,90,17.67,overcast clouds
135,Itoman,JP,26.1247,127.6694,81.37,91,75,16.11,broken clouds
136,Mar Del Plata,AR,-38.0023,-57.5575,44.1,81,40,17.27,scattered clouds
137,Cabo San Lucas,MX,22.8909,-109.9124,74.61,80,66,9.15,broken clouds
138,Lesnoye,RU,58.2841,35.5158,73.51,40,57,7.61,broken clouds
139,Iberia,US,29.9502,-91.7507,86.05,74,40,11.5,scattered clouds
140,Tlaltizapan,MX,18.6833,-99.1167,76.08,75,88,1.05,overcast clouds
141,Lugovoy,KZ,42.9472,72.7644,72.36,60,100,9.01,overcast clouds
142,Aranda De Duero,ES,41.6704,-3.6892,88.57,18,100,4.16,overcast clouds
143,Eydhafushi,MV,5.1033,73.0708,82.53,76,100,9.91,overcast clouds
144,Isangel,VU,-19.55,169.2667,76.21,89,100,4.92,overcast clouds
145,Banda Aceh,ID,5.5577,95.3222,77.86,84,100,11.97,overcast clouds
146,Shuyskoye,RU,59.3736,41.0305,66.83,59,66,9.64,broken clouds
147,Dhari,IN,21.3333,71.0167,88.3,53,56,17.47,broken clouds
148,Freetown,SL,8.484,-13.2299,81.12,77,100,4.7,overcast clouds
149,Sitka,US,57.0531,-135.33,51.69,76,75,10.36,broken clouds
150,Inta,RU,66.0317,60.1659,73.47,33,2,14.94,clear sky
151,Esperance,AU,-33.8667,121.9,57.51,64,100,16.78,overcast clouds
152,Biltine,TD,14.5333,20.9167,98.38,22,74,2.35,broken clouds
153,Clermont,FR,49.5,2.4167,72.18,60,99,11.39,overcast clouds
154,Toamasina,MG,-18.1667,49.3833,75.2,69,75,6.91,broken clouds
155,Cururupu,BR,-1.8283,-44.8683,85.41,64,86,6.24,overcast clouds
156,Taicheng,CN,38.731,113.228,59.4,64,5,5.01,clear sky
157,Yueyang,CN,29.3333,113.0919,76.35,85,98,4.5,overcast clouds
158,Erzin,TR,36.9559,36.2,79.09,60,0,9.26,clear sky
159,Shache,CN,38.4167,77.2406,83.05,20,100,16.04,overcast clouds
160,Dikson,RU,73.5069,80.5464,33.37,99,99,5.35,overcast clouds
161,Usinsk,RU,65.9939,57.5281,77.4,24,73,8.28,broken clouds
162,East Stroudsburg,US,40.9995,-75.1813,72.43,58,100,7.58,overcast clouds
163,Qaanaaq,GL,77.484,-69.3632,30.88,92,98,3.0,light snow
164,Mubi,NG,10.2676,13.2644,89.58,39,99,1.83,overcast clouds
165,Silale,LT,55.4906,22.1814,69.31,87,85,9.69,overcast clouds
166,Thompson,CA,55.7435,-97.8558,60.96,48,20,3.44,few clouds
167,Barra Do Garcas,BR,-15.89,-52.2567,72.18,88,75,5.75,broken clouds
168,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,40,13.71,scattered clouds
169,Tucuman,AR,-26.8241,-65.2226,51.8,76,75,6.91,broken clouds
170,Amga,RU,60.8953,131.9608,56.73,96,26,6.89,scattered clouds
171,Barrow,US,71.2906,-156.7887,30.22,86,100,11.5,overcast clouds
172,Astoria,US,46.1879,-123.8313,57.47,96,100,3.44,mist
173,Fukuma,JP,33.7667,130.4667,74.28,90,100,5.39,heavy intensity rain
174,Taupo,NZ,-38.6833,176.0833,51.35,88,100,14.45,light rain
175,Dungarpur,IN,23.8333,73.7167,100.49,22,17,9.31,few clouds
176,Vila Velha,BR,-20.3297,-40.2925,84.15,62,20,14.97,few clouds
177,Ulladulla,AU,-35.35,150.4667,49.59,72,5,8.9,clear sky
178,Hilsa,IN,25.3167,85.2833,89.53,25,100,10.49,overcast clouds
179,Hasaki,JP,35.7333,140.8333,66.6,84,100,8.99,overcast clouds
180,Mana,GF,5.6592,-53.7767,81.32,79,84,4.88,broken clouds
181,Carnarvon,AU,-24.8667,113.6333,70.9,71,0,9.17,clear sky
182,Esso,RU,55.9333,158.7,45.9,88,55,3.85,broken clouds
183,Severo-Kurilsk,RU,50.6789,156.125,43.84,94,95,5.97,overcast clouds
184,Bairiki,KI,1.3292,172.9752,80.6,78,20,11.5,few clouds
185,Pacific Grove,US,36.6177,-121.9166,66.54,86,0,8.01,clear sky
186,Nishihara,JP,26.1842,127.7558,80.65,92,75,16.11,broken clouds
187,General Pico,AR,-35.6566,-63.7568,44.51,29,99,4.74,overcast clouds
188,Huarmey,PE,-10.0681,-78.1522,66.58,79,27,6.87,scattered clouds
189,Khatanga,RU,71.9667,102.5,48.6,56,82,11.83,broken clouds
190,Noormarkku,FI,61.5927,21.8685,71.38,49,75,9.22,broken clouds
191,Kieta,PG,-6.2167,155.6333,78.58,83,27,3.02,scattered clouds
192,Burns Lake,CA,54.2331,-125.7533,47.62,92,47,3.83,scattered clouds
193,Mersing,MY,2.4312,103.8405,82.31,89,20,4.61,few clouds
194,Bani Walid,LY,31.7566,13.9942,88.95,24,0,23.17,clear sky
195,Balaipungut,ID,1.05,101.2833,75.88,97,100,3.13,overcast clouds
196,Grindavik,IS,63.8424,-22.4338,60.91,58,75,14.97,broken clouds
197,Alice Springs,AU,-23.7,133.8833,40.55,81,90,0.0,overcast clouds
198,Platanos,GR,37.6667,21.6167,77.65,61,37,8.41,scattered clouds
199,Caravelas,BR,-17.7125,-39.2481,80.24,63,47,5.95,scattered clouds
200,Takoradi,GH,4.8845,-1.7554,81.37,76,100,12.15,overcast clouds
201,Calama,CL,-22.4667,-68.9333,50.49,12,0,23.02,clear sky
202,Vanavara,RU,60.34,102.2797,57.0,62,44,2.04,scattered clouds
203,Chicama,PE,-7.8447,-79.1469,67.37,76,42,5.61,scattered clouds
204,Howard Springs,AU,-12.497,131.047,72.82,44,11,9.62,few clouds
205,Solnechnyy,RU,50.7214,136.6319,42.15,92,5,3.4,clear sky
206,Ishim,RU,56.1128,69.4902,64.72,76,81,6.49,broken clouds
207,Alyangula,AU,-13.8483,136.4192,69.55,71,57,12.88,broken clouds
208,Lujan,AR,-34.5703,-59.105,47.01,53,0,14.12,clear sky
209,Chaozhou,CN,23.6651,116.6379,78.66,97,100,3.18,light rain
210,Makakilo City,US,21.3469,-158.0858,73.72,71,0,6.91,clear sky
211,Faya,SA,18.3851,42.4509,88.32,14,23,10.36,few clouds
212,San Javier,ES,37.8063,-0.8374,91.89,63,0,10.0,clear sky
213,Narsaq,GL,60.9167,-46.05,53.82,54,90,5.1,overcast clouds
214,Katsuura,JP,35.1333,140.3,68.31,87,100,7.7,moderate rain
215,Verkhnevilyuysk,RU,63.4453,120.3167,52.25,53,0,5.48,clear sky
216,Taoudenni,ML,22.6783,-3.9836,113.38,6,0,4.23,clear sky
217,Fairbanks,US,64.8378,-147.7164,47.61,67,75,9.22,broken clouds
218,Argelia,CO,2.2556,-77.2488,71.19,86,34,1.88,light rain
219,Prieska,ZA,-29.6641,22.7474,71.29,16,0,7.29,clear sky
220,Sioux Lookout,CA,50.1001,-91.917,57.27,58,20,6.91,few clouds
221,Jaca,ES,42.569,-0.5499,92.01,27,15,3.74,few clouds
222,Komsomolskiy,UZ,40.4272,71.7189,77.72,44,75,16.11,broken clouds
223,Norman Wells,CA,65.282,-126.8329,47.35,66,100,8.77,overcast clouds
224,Pevek,RU,69.7008,170.3133,41.47,66,43,3.74,scattered clouds
225,Kudahuvadhoo,MV,2.6708,72.8944,83.37,71,73,8.79,broken clouds
226,Santa Rosa,PH,14.3122,121.1114,84.11,70,95,3.27,overcast clouds
227,Jimma,ET,7.6667,36.8333,71.69,73,73,2.01,light rain
228,Dunyapur,PK,29.7995,71.7196,109.71,9,0,12.15,clear sky
229,Nicoya,CR,10.1483,-85.452,78.64,84,95,1.81,overcast clouds
230,Salinas,US,36.6777,-121.6555,69.3,77,0,0.0,clear sky
231,Pachino,IT,36.7186,15.0907,75.74,60,36,14.16,scattered clouds
232,Ribeira Grande,PT,38.5167,-28.7,68.4,88,75,5.75,light intensity drizzle
233,Saint Anthony,US,45.0205,-93.218,71.65,51,0,5.75,clear sky
234,Vardo,NO,70.3705,31.1107,49.98,66,75,5.75,broken clouds
235,Palmer,US,42.1584,-72.3287,71.78,60,75,6.91,broken clouds
236,Pochutla,MX,15.7432,-96.4661,75.02,79,93,6.64,overcast clouds
237,Dwarka,IN,22.2394,68.9678,85.06,75,0,15.75,clear sky
238,Arcata,US,40.8665,-124.0828,62.92,85,40,0.0,haze
239,Adrar,MR,20.5022,-10.0711,107.19,9,54,2.93,broken clouds
240,Avera,US,33.194,-82.5271,79.56,44,3,9.64,clear sky
241,West Bay,KY,19.3667,-81.4167,86.07,78,20,9.22,few clouds
242,Beira,MZ,-19.8436,34.8389,75.29,57,20,8.05,few clouds
243,Duyure,HN,13.6333,-86.8167,71.13,85,100,5.1,overcast clouds
244,Broome,US,42.2506,-75.833,66.88,61,0,13.8,clear sky
