City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
139,Iberia,US,86.05,scattered clouds,29.9502,-91.7507,back to back rv park
140,Tlaltizapan,MX,76.08,overcast clouds,18.6833,-99.1167,Hotel Piedras de Sol Solaris Morelos
142,Aranda De Duero,ES,88.57,overcast clouds,41.6704,-3.6892,Hotel Villa de Aranda
143,Eydhafushi,MV,82.53,overcast clouds,5.1033,73.0708,Soneva Fushi
144,Isangel,VU,76.21,overcast clouds,-19.55,169.2667,Tanna Lodge
145,Banda Aceh,ID,77.86,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
147,Dhari,IN,88.3,broken clouds,21.3333,71.0167,Anand pan & coldrinks
148,Freetown,SL,81.12,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
154,Toamasina,MG,75.2,broken clouds,-18.1667,49.3833,Hotel H1
155,Cururupu,BR,85.41,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
157,Yueyang,CN,76.35,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
158,Erzin,TR,79.09,clear sky,36.9559,36.2,Artemis Otel
159,Shache,CN,83.05,overcast clouds,38.4167,77.2406,Delong Hotel
161,Usinsk,RU,77.4,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
164,Mubi,NG,89.58,overcast clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
176,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
178,Hilsa,IN,89.53,overcast clouds,25.3167,85.2833,Mr. Akiv House
180,Mana,GF,81.32,broken clouds,5.6592,-53.7767,LE SAMANA
184,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
186,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
191,Kieta,PG,78.58,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
193,Mersing,MY,82.31,few clouds,2.4312,103.8405,Timotel Hotel
194,Bani Walid,LY,88.95,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
198,Platanos,GR,77.65,scattered clouds,37.6667,21.6167,Hotel Kronio
199,Caravelas,BR,80.24,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
200,Takoradi,GH,81.37,overcast clouds,4.8845,-1.7554,Raybow International Hotel
209,Chaozhou,CN,78.66,light rain,23.6651,116.6379,Seven Corner View Homestay
211,Faya,SA,88.32,few clouds,18.3851,42.4509,املاك خالد الشعشوع
222,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
225,Kudahuvadhoo,MV,83.37,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
226,Santa Rosa,PH,84.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
229,Nicoya,CR,78.64,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
231,Pachino,IT,75.74,scattered clouds,36.7186,15.0907,Il Veliero
236,Pochutla,MX,75.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
237,Dwarka,IN,85.06,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
241,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
242,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
245,Buala,SB,79.29,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
248,Lazaro Cardenas,MX,81.21,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
249,Lorengau,PG,80.35,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
255,Oktyabrskoye,RU,77.14,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
