City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Norman Wells,CA,2022-06-06 19:54:53,65.282,-126.8329,53.64,62,75,10.36
176,Shakawe,BW,2022-06-06 19:54:54,-18.3667,21.85,53.8,44,55,5.73
177,Inegol,TR,2022-06-06 19:54:54,40.0781,29.5133,67.28,92,81,1.3
178,Chipinge,ZW,2022-06-06 19:54:54,-20.1883,32.6236,53.51,88,99,4.81
179,Maragogi,BR,2022-06-06 19:54:55,-9.0122,-35.2225,75.49,84,83,14.34
180,Zhezkazgan,KZ,2022-06-06 19:54:55,47.8043,67.7144,71.69,33,38,6.58
181,Ponta Do Sol,PT,2022-06-06 19:55:55,32.6667,-17.1,72.23,82,83,0.94
182,Narsaq,GL,2022-06-06 19:55:56,60.9167,-46.05,44.78,81,100,5.48
183,Dzidzantun,MX,2022-06-06 19:55:56,21.25,-89.05,83.3,69,97,8.5
184,Kirakira,SB,2022-06-06 19:55:56,-10.4544,161.9205,79.23,83,16,8.81
185,Nantucket,US,2022-06-06 19:55:57,41.2835,-70.0995,72.14,68,7,8.23
186,Hofn,IS,2022-06-06 19:55:57,64.2539,-15.2082,46.42,66,100,8.05
187,Kargasok,RU,2022-06-06 19:55:57,59.0556,80.8572,44.02,87,100,0.94
188,Puerto Suarez,BO,2022-06-06 19:55:58,-18.95,-57.8,93.56,59,75,4.61
189,Harstad,NO,2022-06-06 19:55:58,68.799,16.5293,45.79,95,100,25.01
190,Paamiut,GL,2022-06-06 19:55:58,61.994,-49.6678,37.45,93,72,5.82
191,Camacha,PT,2022-06-06 19:55:58,33.0833,-16.3333,65.62,77,20,10.36
192,Sidhi,IN,2022-06-06 19:55:59,24.4167,81.8833,93.51,16,7,3.29
193,Kaitangata,NZ,2022-06-06 19:55:59,-46.2817,169.8464,47.91,71,100,5.37
194,Mayo,US,2022-06-06 19:54:40,38.8876,-76.5119,84.36,41,0,10.36
195,Keuruu,FI,2022-06-06 19:55:59,62.2667,24.7,57.38,70,13,3.09
196,Steamboat Springs,US,2022-06-06 19:56:00,40.485,-106.8317,73.94,44,0,9.22
197,Uwajima,JP,2022-06-06 19:56:00,33.2238,132.56,63.79,89,72,13.2
198,Lahaina,US,2022-06-06 19:54:11,20.8783,-156.6825,83.95,85,4,5.66
199,Korla,CN,2022-06-06 19:56:00,41.7597,86.1469,76.73,16,94,5.84
200,Grand-Lahou,CI,2022-06-06 19:56:01,5.1367,-5.0242,77.58,85,100,9.64
201,Tabou,CI,2022-06-06 19:56:01,4.423,-7.3528,76.05,90,100,8.72
202,Sangar,RU,2022-06-06 19:56:01,63.9242,127.4739,60.15,61,69,4.12
203,Labuhan,ID,2022-06-06 19:56:02,-6.8844,112.2051,77.36,89,99,5.7
204,Mana,GF,2022-06-06 19:56:02,5.6592,-53.7767,76.87,89,100,5.57
205,Dikson,RU,2022-06-06 19:56:03,73.5069,80.5464,29.71,97,100,13.69
206,Ancud,CL,2022-06-06 19:56:03,-41.8697,-73.8203,49.6,98,100,1.32
207,Torbay,CA,2022-06-06 19:56:03,47.6666,-52.7314,61.57,48,75,8.05
208,Chuy,UY,2022-06-06 19:56:03,-33.6971,-53.4616,55.54,83,100,5.97
209,Pingliang,CN,2022-06-06 19:56:04,35.5392,106.6861,66.97,41,96,6.71
210,Ojinaga,MX,2022-06-06 19:56:04,29.5667,-104.4167,103.57,16,0,11.5
211,Katsuura,JP,2022-06-06 19:56:04,35.1333,140.3,63.19,92,96,15.88
212,Beyneu,KZ,2022-06-06 19:56:05,45.3167,55.2,83.73,23,77,10.56
213,Mutoko,ZW,2022-06-06 19:56:05,-17.397,32.2268,51.55,77,6,7.81
214,Mnogovershinnyy,RU,2022-06-06 19:56:05,53.9353,139.9242,55.72,66,82,1.92
215,Vaitape,PF,2022-06-06 19:56:06,-16.5167,-151.75,80.62,73,14,19.93
216,Cabo San Lucas,MX,2022-06-06 19:54:35,22.8909,-109.9124,91.62,58,22,7.72
217,Boddam,GB,2022-06-06 19:56:06,57.4667,-1.7833,53.98,85,15,14.14
218,Yumen,CN,2022-06-06 19:56:06,40.2833,97.2,64.47,25,2,10.31
219,Hof,DE,2022-06-06 19:56:07,50.3167,11.9167,60.03,82,40,6.91
220,Balad,IQ,2022-06-06 19:56:07,34.0164,44.1453,97.21,11,100,17.63
221,Dolores Hidalgo,MX,2022-06-06 19:56:07,21.1561,-100.9308,87.78,14,20,9.31
222,Geraldton,AU,2022-06-06 19:56:07,-28.7667,114.6,57.61,47,0,20.71
223,Port Blair,IN,2022-06-06 19:56:08,11.6667,92.75,77.04,94,75,0.0
224,Comodoro Rivadavia,AR,2022-06-06 19:56:08,-45.8667,-67.5,51.66,40,0,11.5
225,Faanui,PF,2022-06-06 19:51:27,-16.4833,-151.75,80.62,73,14,19.89
226,Lakes Entrance,AU,2022-06-06 19:57:08,-37.8811,147.981,38.16,76,60,13.67
227,Mangrol,IN,2022-06-06 19:57:09,21.1167,70.1167,82.47,85,71,8.39
228,Choma,ZM,2022-06-06 19:57:09,-16.8065,26.9531,51.55,57,47,7.94
229,Saint Anthony,US,2022-06-06 19:57:09,45.0205,-93.218,77.14,47,7,1.99
230,Nikolskoye,RU,2022-06-06 19:57:10,59.7035,30.7861,53.49,75,22,4.5
231,Manado,ID,2022-06-06 19:57:10,1.487,124.8455,74.17,100,40,2.3
232,Teahupoo,PF,2022-06-06 19:57:10,-17.8333,-149.2667,75.16,73,45,19.48
233,Pangnirtung,CA,2022-06-06 19:57:11,66.1451,-65.7125,42.8,75,20,11.5
234,Roebourne,AU,2022-06-06 19:57:11,-20.7833,117.1333,67.68,50,4,14.99
235,Odweyne,SO,2022-06-06 19:57:11,9.4092,45.064,72.97,64,100,4.65
236,Pemangkat,ID,2022-06-06 19:57:12,1.1667,108.9667,76.86,90,72,4.92
237,Polson,US,2022-06-06 19:57:12,47.6936,-114.1632,63.21,66,92,1.01
238,Hobyo,SO,2022-06-06 19:57:12,5.3505,48.5268,78.96,85,81,27.31
239,Gat,IL,2022-06-06 19:57:12,31.61,34.7642,75.4,100,7,3.36
240,Belvedere Marittimo,IT,2022-06-06 19:57:13,39.6179,15.8617,71.67,81,25,1.03
241,Russell,US,2022-06-06 19:53:54,32.3502,-85.1999,89.01,55,20,3.44
242,Omboue,GA,2022-06-06 19:57:13,-1.5746,9.2618,75.65,84,95,7.09
243,Churapcha,RU,2022-06-06 19:57:13,62.0025,132.4325,63.39,64,27,2.48
244,Kaili,ID,2022-06-06 19:57:14,-3.4626,120.2147,65.89,97,100,3.78
245,Mantamados,GR,2022-06-06 19:57:14,39.3117,26.3339,75.25,71,60,8.03
246,Chokurdakh,RU,2022-06-06 19:57:14,70.6333,147.9167,39.56,65,20,13.98
247,Gibara,CU,2022-06-06 19:57:15,21.1097,-76.1317,89.35,56,37,10.07
248,Westport,US,2022-06-06 19:57:15,41.1415,-73.3579,84.61,40,40,5.01
